,0,1,2,3,4,5,6,7,8,9
Black Dog,"""Slaughterhouse-Five (Chapter 3)"" by Kurt Vonnegut:
    The Germans and the dog were engaged in a military operation which had an amusingly self-explanatory...","""Every Iron Maiden Song Ranked From Worst to Best"" by Loudwire:
    In the 40-plus years since their 1975 formation, Iron Maiden have served as the embodiment of all th...","""2018 haywoodindahood Listening Log"" by Gerald Haywood:
    Last updated: 10/6/2018, 5:16PM MST
    OctoberOctober 6Jesse Powell — Jesse Powell (1996)October 5girl ...","""The Vampire, His Kith And Kin - Chapter 1"" by Montague Summers:
    CHAPTER I
    THE ORIGINS OF THE VAMPIRE
    THROUGHOUT the whole vast shadowy world of ghosts and demons th...","""Macbeth"" by William Shakespeare:
    THE TRAGEDY OF MACBETH, KING OF SCOTLAND
    Act I, Scene 1
    A desert place.
    next scene
    
    
    First Witch. Wh...","""Angela’s Ashes"" by Frank McCourt:
    Angela's Ashes
    A Memoir of a Childhood
    By Frank McCourt
    This book is dedicated to my brothers, Malac...","""2018 haywoodindahood Listening Log"" by Gerald Haywood:
    Last updated: 10/6/2018, 5:16PM MST
    OctoberOctober 6Jesse Powell — Jesse Powell (1996)October 5girl ...","""Songs of the South: Tennessee"" by Country Genius:
    Tennessee has a long music history. It's where country, bluegrass, rockabilly, gospel, soul and rock...","""Sunset Blvd"" by Billy Wilder:
    SUNSET BOULEVARD
    
    Charles Brackett
    Billy Wilder
    D.M. Marshman, Jr.
    March 21,1949
    
    SEQUENCE ""A""
    
    A-l-...","""A People’s History of the United States (Chapter 9: Slavery Without Submission)"" by Howard Zinn:
    The United States government's support of slavery was based on an overpowering practicality. In 1790..."
Black Eyed Peas,"""GIRL LIKE ME"" by Black Eyed Peas & Shakira:
    Ayy, yeah
    Ayy, ayy
    
    So they tell me that you lookin' for a girl like me
    So they tell me that you loo...","""I Gotta Feeling"" by Black Eyed Peas:
    I got a feelin'
    That tonight's gonna be a good night
    That tonight's gonna be a good night
    That tonig...","""RITMO (Bad Boys for Life)"" by The Black Eyed Peas & J Balvin:
    This is the rhythm, rhythm, rhythm, rhythm
    This is the rhythm, rhythm, rhythm, rhythm, rhythm, rhyth...","""MAMACITA"" by Black Eyed Peas, Ozuna & J. Rey Soul:
    Baby, ven conmigo (Ven conmigo; oh-oh)
    Baila (Baila)
    La música e' testigo, ya la veo, mamacita (-ta)...","""Pump It"" by Black Eyed Peas:
    Ha, ha, ha
    Pump it
    Ha, ha, ha
    And pump it (Louder)
    Pump it (Louder)
    Pump it (Louder)
    Pump it (Louder...","""Where Is the Love?"" by Black Eyed Peas:
    What's wrong with the world, Mama?
    People livin' like they ain't got no mamas
    I think the whole worl...","""Just Can’t Get Enough"" by Black Eyed Peas:
    Boy, I think about it every night and day
    I'm addicted, wanna jam inside your love
    I wouldn't wanna ...","""Meet Me Halfway"" by Black Eyed Peas:
    Ooh, I can't go any further than this
    Ooh, I want you so badly, it's my biggest wish
    
    Cool, I spend ...","""The Time (Dirty Bit)"" by Black Eyed Peas:
    This is international
    Big mega radio smasher
    
    I've, had, the time of my life
    And I never felt this w...","""Boom Boom Pow"" by Black Eyed Peas:
    Welcome
    Welcome to The E.N.D
    Do not panic, there is nothing to fear
    Everything around you is changin..."
Black Hippy,"""2018 haywoodindahood Listening Log"" by Gerald Haywood:
    Last updated: 10/6/2018, 5:16PM MST
    OctoberOctober 6Jesse Powell — Jesse Powell (1996)October 5girl ...","""Rap Names Explained"" by Rap Genius:
    Don't see a rapper or producer?
    Add them yourself!
    #
    • 116 Clique
    • 1K Phew
    • 1K P-Son
    • 1K Tino
    • 1...","""Gone Insane"" by Ab-Soul:
    I feel like, I'm affiliated with the illuminati, bitch
    All seeing fucking eye, this is your enlighte...","""Songs of the Year (2013)"" by Rap Genius Editors:
    The Rap Genius Editors Pick Their Own Top 10 Songs of the Year Below...Check it!
    Screv6
    1. Kanye Wes...",,"""Tim Westwood Freestyle"" by Juice WRLD:
    Yeah, uh, uh
    Uh-huh, huh, hahaha
    Some of y'all be sayin' y'all freestylin'
    But y'all be like... spit...","""50 Best Rap Songs of 2015"" by Genius:
    2015's highlight reel stretches far and wide. Drake kicked the year off with ""Know Yourself,"" debuta...",,"""2018 haywoodindahood Listening Log"" by Gerald Haywood:
    Last updated: 10/6/2018, 5:16PM MST
    OctoberOctober 6Jesse Powell — Jesse Powell (1996)October 5girl ...","""Best Songs of 2015"" by ​swinelord:
    This is an ongoing list of the best rap songs of 2015, the list(s) will be updated as the year goes ..."
Black Label Society,"""Stillborn"" by Black Label Society:
    Blind me
    Erase what was
    Stillborn I have become
    
    The feelings I once felt are now dead and gone
    I've...","""Suicide Messiah"" by Black Label Society:
    Crawl through the flames
    That eat your flesh
    Drowned in the waters
    That know you best
    Step inside
    I'...","""In This River"" by Black Label Society:
    I've been around this world, yet I see no end
    All shall fade to black again and again
    This storm tha...","""Fire It Up"" by Black Label Society:
    Fire it up, let the engines roll
    It's time to burn it down
    Keep bleeding on 'till the day you die
    Fo...","""Funeral Bell"" by Black Label Society:
    Drinking, drugged up
    Completely shot to hell
    Left behind, ain't nothing left to sell
    Oh, ain't nothi...","""Bridge to Cross"" by Black Label Society:
    Hands on the wheel
    All is straight ahead
    Left behind
    Second guessing all that I once said
    I once sai...","""The Blessed Hellride"" by Black Label Society:
    Break me down and roll me once again
    Got no time to think of now and then
    Catch my breath, pick myse...","""Bleed for Me"" by Black Label Society:
    This grave of life I give to you
    Ignore what was, you know it's true
    Realms of fear, they speak the ...","""Spoke in the Wheel"" by Black Label Society:
    Lord, I question whether I've had my fill
    Lord, I question whether I can take much more
    You may laug...","""A Love Unreal"" by Black Label Society:
    Hand me your doubts, worries and fears
    Within this embrace, they shall all disappear
    A love beyond, ..."
Black Moon,"""Patchwork River"" by Jim Lauderdale:
    Heard Joe Farmer say, scuse me please
    Those were the days, but so are these
    Pull over park, turn of...","""CHAPTER XIX. THE PERCEPTION OF ‘THINGS.’"" by William James:
    PERCEPTION AND SENSATION COMPARED.
    A PURE sensation we saw above, p. 7, to be an abstraction never r...","""Black Moon Rising"" by Black Pumas:
    Under the raging sun's open fire, fire, fire
    Ain't nothin' new, ain't nothin' new
    We all have desire...","""Blue Cigar"" by Midnight Sister:
    Don't have to be in low light
    Everywhere you go, we're always in the know oh, oh
    Every time I turn, ...","""Reaping Death"" by Watain:
    There is a place beyond the dreamworlds
    Past the womb of night
    Lying in wait beyond the barriers of ...","""Spotify Singles: Complete Collection"" by Spotify:
    The Kid LAROI
    WITHOUT YOU (Acoustic)
    Lean Wit Me
    Black Pumas
    Colors feat. Hypnotic Brass Ensemble
    Su...","""Patchwork River"" by Jim Lauderdale:
    Heard Joe Farmer say, scuse me please
    Those were the days, but so are these
    Pull over park, turn of...","""Cloudnights"" by Thincoeur:
    5 AM in a cartoon
    Why you wear your shades in a dark room
    Watching all the space through a black moo...","""Songs of the Same Title"" by Genius Users:
    Click on the letters to jump to the terms under the selected letter:
    
    A B C D E F G H I J K L M N 
     ...","""Ego Trippin (Part Three)"" by De La Soul:
    (Once again my friend the funky beat has hold and we going on down to
    The A.M. for you and your frie..."
Black Star,"""I Fade Away"" by CAT DAD:
    When I'm alone I find I fade away
    And I thought I finally found I figured out I'm still the same
    Got...","""Quick Change (Apple Of My Eye Remix)"" by Cam Welsh:
    I been a nobody tryna be myself
    I see the BS clearly but too blind to see myself
    I wish my soul was ...","""Thom Yorke is Black"" by CRASHprez:
    ""more perfect.""
    All Black Everything...
    
    Morning bell, dollars and cents on my mental
    Scatterbrain d...","""Bklyn Masala"" by Masta Ace:
    I met her on the corner of Gates and Bedstuy
    It was only right that I approached and said hi
    'Cause ...","""Seasons"" by CunninLynguists:
    One two
    It's Masta Ace, Cunninlynguists
    We about to get into the seasons
    The seasons of hip hop
    How ...","""The Culture Industry: Enlightenment as Mass Deception"" by Theodor Adorno:
    THE sociological theory that the loss of the support of objectively established religion, the dissol...","""The Top 200 Tracks of the 1990s"" by Pitchfork:
    1. Pavement – ""Gold Soundz""
    2. Pulp – ""Common People""
    3. Dr. Dre (feat. Snoop Doggy Dogg) – ""Nuthin'...",,"""Nice Things"" by Talib Kweli:
    Violence has come, but many argue it’s also tolerated as long as Blacks and Hispanics fight each oth...","""Burn It Down"" by Sims:
    All the heat pipes cough, speech freeze like water
    Sheep led right to the bleach-wipe slaughter
    Even..."
Black Veil Brides,"""In The End"" by Black Veil Brides:
    In the end
    As we fade into the night (oh whoa oh oh)
    Who will tell the story of your life?
    
    In the e...","""Scarlet Cross"" by Black Veil Brides:
    My mind remains my pain
    I'm tied down to this chain
    It spirals as I ache
    To find holy embrace
    Stay w...","""Knives and Pens"" by Black Veil Brides:
    Alone at last we can sit and fight
    And I've lost all faith in this blurring light
    Stay right here we...","""Wake Up"" by Black Veil Brides:
    Oh o-oh, Wake up!
    Oh o-oh, Wake up!
    
    All we know is time
    It's slipping from our lives
    A world that k...","""Fallen Angels"" by Black Veil Brides:
    Scream! Shout!
    Scream! Shout!
    We are the fallen angels!
    
    We are the in between
    Cast down as sons of ...","""Rebel Love Song"" by Black Veil Brides:
    I cannot hide what's on my mind
    I feel it burning deep inside
    A passion crime to take what's mine
    Le...","""Fields of Bone"" by Black Veil Brides:
    Here I am, your Judas Christ
    And I bleed from the heart that saved your life
    Blurry vision when your...","""Goodbye Agony"" by Black Veil Brides:
    Heaven's gone, the battle's won
    I had to say goodbye
    Lived and learned from every fable
    Written by y...","""Heart Of Fire"" by Black Veil Brides:
    Driving through this world unknown
    I've built my life on broken bones
    Not living for this anymore
    Yo...","""Perfect Weapon"" by Black Veil Brides:
    Rrrraaaaaaa!
    Awake at night you focus
    On everyone who's hurt you
    Then write a list of targets
    Your v..."
BlackJack,"""HNHH Cypher"" by Meek Mill:
    IMPORTANT: Rap Genius already has a version of this song:
    URL:http://rapgenius.com/Dj-ill-will-cyphe...","""Black Jack David"" by Carlene Carter:
    Black Jack David came riding through the woods
    And he sang so loud and gaily
    Made the hills around h...","""For What It’s Worth"" by Dave Chappelle:
    Why’d you pick San Francisco to shoot your special?
    
    This is one of the best towns that ever knew co...",,"""Meet Whitney!"" by DC The Don:
    Yeah, yeah, yeah, yeah, yeah, yeah
    Aye, this is a Trademark produ-
    Yeah, yeah, yeah
    
    When I'm riding...","""All the songs i enjoy listening to because i feel like making it"" by Chams called me cutie at 11:05 pm on 4/15/21:
    #
    03' Adolescence - J. Cole
    1, 2 - mxmtoon
    1.5 - 21 Savage feat. Offset
    151 Rum - JID
    17again - Powf...","""Three Wise Men | O.C.D Cypher #1"" by Team Backpack:
    Please believe these CDs and seeds will bring me peace like treaties
    Heebie jeebies, my species brin...",,"""Bells of War"" by Wu-Tang Clan:
    Give me the cue
    
    Skip the introduction proceed to lip function
    The junction get rushed by some grimy...","""Freestyle"" by Dolla:
    I Made Rhymes come to life
    Never turn hoes wife
    Couple bottles of the Spade
    It's bout to be a long n..."
Blanco,"""Polka’s Popular Transcriptions"" by Polka_DeLaMusic ⚡:
    500,000+ views
    🔸 Bad Bunny, Jowell & Randy & Ñengo Flow - Safaera // 931.2K
    🔸 Bad Bunny & Jhay Corte...","""Spanglish Songs - List of songs in English and Spanish / Lista de canciones en español e ingles"" by Genius Lists:
    •""#Freetag"" by Kidd Keo
    •""1, 2, 3"" by Sofia Reyes ft. Jason Derulo & De La Ghetto
    •""1-800-273-8255 (...","""Yo También Perdí"" by La Ponderosa:
    Yo también perdí
    No es el principio ni el final de la locura
    Es una página en blanco
    Un mar de dudas...","""Selecta"" by Naps:
    J'suis toujours le même qu'avant, on roulait dans le noir, allume les phares avant (ouh, ouh)
    Quatre...","""Sin Miedo a Vivir"" by SFDK:
    Con poco basta
    Con techo pa' dormir y con atún para la pasta
    Parece mejorar pero se atasca
    Su horósc...","""La Culebrita"" by Don Miguelo:
    Pa-na-na-na
    Esta noche, yo contigo me quiero escapar
    Pa-na-na-na
    Pero ten cuida'o que la culebrita t...","""Free Checking"" by Deepspace5:
    Ay, come one, come all
    Everybody's welcome
    Here come big or small
    Everybody can have freedom
    
    You ca...","""BOOMBAP"" by Gabylonia:
    Este juego se puso bueno
    Tengo tomado todo el terreno
    Con tres bases llenas, dos outs, home run y su...","""January 2021 Singles Release Calendar"" by Genius:
    1/1
    Andrew McMahon in the Wilderness - ""New Year Song""
    Bailey Bryan - ""Sober""
    EGOVERT - ""Do It!"" ft....","""Hombre Nuevo"" by Abhir Hathi:
    Soy el hombre y actúo como tal
    I move like the man cause I'm the man
    Y ahora soy un hombre nuevo
    Eve..."
Blastoyz,,,"""Pokemon Rap - Indigo Cypher"" by Shofu:
    Ya boy looking like Yveltal
    The way I'm killing shit they know I'm so lethal
    King N is in the throne...","""Pokemon Black"" by Videogame creepypasta:
    I’m what you could call a collector of bootleg Pokémon games. Pokémon Diamond & Jade, Chaos Black, e...",,,"""A State of Trance Year Mix 2019"" by A State of Trance:
    Here is the complete list of the tracks featured in this year's ASOT 2019 Year Mix
    1. Intro – Music ...",,,"""A State of Trance Year Mix 2019"" by A State of Trance:
    Here is the complete list of the tracks featured in this year's ASOT 2019 Year Mix
    1. Intro – Music ..."
